,Vehicle,Total_Problems,Category,Mode,Verbatim,Score
3665,MINI Cooper 2dr Cnv,5,Driving Experience,D,"Although the brakes improved in the first two months or so of driving, they are simply not stellar brakes.",0.4767
2948,MINI Cooper 2dr Cnv,5,Exterior,M,appears to have closed but dash signals it is still open; I stop and close again,-0.4215
2949,MINI Cooper 2dr Cnv,5,Exterior,M,sometimes it will close correctly and sometimes it takes several minutes to get it to close; appears not to alignonce I had to drive without it closed; another time another motorist signaled me that it was open,0.0
2950,MINI Cooper 2dr Cnv,5,Seats,D,,0.0
3024,MINI Cooper 2dr Cnv,1,Exterior,M,PASS SIDE BREAK LIGHT  NEED TO BE REPLACED,0.0
3759,MINI Cooper 2dr Cnv,2,Audio/Communication/Entertainment/Navigation (ACEN),D,radio has poor reception while driving in city and highways,-0.4767
3760,MINI Cooper 2dr Cnv,2,Interior,M,seems to be constant however at times louder than others. : mistake in hitting meant to describe rattle in convertible top,-0.1531
2961,MINI Cooper 2dr Cnv,1,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
3280,MINI Cooper 2dr Cnv,1,Audio/Communication/Entertainment/Navigation (ACEN),M,: the preset buttons don't always stay stored,0.0
2991,MINI Cooper 2dr Cnv,2,Interior,M,Sounds like in the vicinity of the window,0.3612
2990,MINI Cooper 2dr Cnv,2,Seats,U,Seat movement difficult,-0.3612
3667,MINI Cooper 2dr Cnv,5,Seats,D,Rear seat headrest interfere with rear view for driver.,0.0
3284,MINI Cooper 2dr Cnv,5,Audio/Communication/Entertainment/Navigation (ACEN),D,I don't like the dial down by the break.  It is hard to find without looking and the whole process is just awkward,-0.4784
3368,MINI Cooper 2dr Cnv,8,Engine/Transmission,D,"It does not shift down, then nocks when try to accerelate",0.0
3283,MINI Cooper 2dr Cnv,1,Interior,D,"When open, the angle is such that things easily fall out.",0.34
3357,MINI Cooper 2dr Hbk,3,Features/Controls/Displays (FCD),D,,0.0
3811,MINI Cooper 2dr Hbk,6,Interior,D,,0.0
3812,MINI Cooper 2dr Hbk,3,Driving Experience,D,,0.0
3810,MINI Cooper 2dr Hbk,6,Seats,D,,0.0
3813,MINI Cooper 2dr Hbk,3,Driving Experience,D,,0.0
3814,MINI Cooper 2dr Hbk,3,Driving Experience,M,steering wheel off by a quarter of an inch.,0.0
3402,MINI Cooper 2dr Hbk,5,Audio/Communication/Entertainment/Navigation (ACEN),D,"I listen to music on an old MP3 player plugged in to the AUX port.  However, I use the phone for navigation.  The phone is successfully paired with the car, and I can place and receive calls through it, which override the AUX music as expected.  However, when the stereo is set to the AUX port, voice prompts from the phone navigation software aren't heard.  I have to switch the car's music source to the phone's Bluetooth connection to be able to hear the navigation prompts.",0.4939
3817,MINI Cooper 2dr Hbk,1,Seats,D,Its a bit hard to understand what control adjusts the height.,-0.1027
3819,MINI Cooper 2dr Hbk,7,Features/Controls/Displays (FCD),M,: windshield wipers squeak after a while,0.0
3348,MINI Cooper 2dr Hbk,1,Interior,U,The interior visor covering the sunroof rattles in all positions. : moonroof interior visor rattles in all positions.,0.0
3358,MINI Cooper 2dr Hbk,3,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
3401,MINI Cooper 2dr Hbk,5,Features/Controls/Displays (FCD),D,"Previous MINI Cooper had headlight controls on the left steering column stalk.  Current MINI has them on the panel down and to the left of the steering column.  It's an unnatural reach to get to them, and you can't see them from normal driving position.  A minor disappointment.",-0.4939
3807,MINI Cooper 2dr Hbk,6,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
3386,MINI Cooper 2dr Hbk,1,Driving Experience,U,"The steering system has an alert that the steering wheel may by hard to turn, and to make an appointment to take it to the dealer right away",0.2023
3806,MINI Cooper 2dr Hbk,6,Features/Controls/Displays (FCD),D,,0.0
3808,MINI Cooper 2dr Hbk,6,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
3379,MINI Cooper 2dr Hbk,1,Audio/Communication/Entertainment/Navigation (ACEN),D,Bluetooth is too sensitive. Dials numbers I don't want dialed.,-0.0572
3359,MINI Cooper 2dr Hbk,3,Interior,D,Scuffing happens during entry and exiting vehicle.,0.0
3371,MINI Cooper 2dr Hbk,4,Features/Controls/Displays (FCD),D,,0.0
3372,MINI Cooper 2dr Hbk,4,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
3373,MINI Cooper 2dr Hbk,4,Engine/Transmission,D,,0.0
3374,MINI Cooper 2dr Hbk,4,Engine/Transmission,D,,0.0
3377,MINI Cooper 2dr Hbk,2,Features/Controls/Displays (FCD),D,,0.0
3809,MINI Cooper 2dr Hbk,6,Seats,D,,0.0
3347,MINI Cooper 2dr Hbk,1,Seats,D,The seats seem to take much longer to heat than my previous MINI,0.0
3378,MINI Cooper 2dr Hbk,2,Engine/Transmission,M,,0.0
3743,MINI Cooper 2dr Hbk,1,Audio/Communication/Entertainment/Navigation (ACEN),D,Traffic Patterns and not accurate. If the engineers could re program to sync with waze and use that live streaming information it would be wonderful.,0.5719
3329,MINI Cooper 2dr Hbk,1,Seats,M,Seat stitching unravelling on passenger seat between seat thigh support extender and seat bottom.,0.4019
3264,MINI Cooper 2dr Hbk,2,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
3263,MINI Cooper 2dr Hbk,4,Interior,U,: Glass roof rattles when open.,0.0
3262,MINI Cooper 2dr Hbk,4,Seats,D,,0.0
3261,MINI Cooper 2dr Hbk,4,Audio/Communication/Entertainment/Navigation (ACEN),D,Only car where it wont automatically pair with my phone. And the steps to pair it is complicated.,0.0
3260,MINI Cooper 2dr Hbk,4,Exterior,M,The gaps on both front doors are off.,0.0
3258,MINI Cooper 2dr Hbk,1,Interior,D,Also - it is uncomfortable to reach in because of the angle of the opening. The glove compartment has nothing wrong with it - just poorly designed.,0.0139
3255,MINI Cooper 2dr Hbk,1,Seats,D,Drivers seat does not get warm enough at all. Doesnâ€™t stay warm. While passenger seat heats up just fine and remains very hot,-0.1361
3829,MINI Cooper 2dr Hbk,3,Seats,M,The seats seem like they are heating up but then do not heat.,0.1901
3246,MINI Cooper 2dr Hbk,3,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
3245,MINI Cooper 2dr Hbk,3,Audio/Communication/Entertainment/Navigation (ACEN),D,If you have a drink in the drink holder then it's difficult to reach the port.,-0.34
3244,MINI Cooper 2dr Hbk,3,Exterior,M,when you first pull down on the trunk you feel resistance and then it releases and closes quickly.  it shuts really loudly and sometimes it doesn't shut completely.  You really have to slam it for it to completely shut.,-0.4336
3242,MINI Cooper 2dr Hbk,3,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
3241,MINI Cooper 2dr Hbk,3,Driving Experience,D,they have a lot of fading,0.0
3240,MINI Cooper 2dr Hbk,3,Driving Experience,D,"They squeak a little, you won't notice if the windows are up and  radio is on.",0.0
3229,MINI Cooper 2dr Hbk,1,Audio/Communication/Entertainment/Navigation (ACEN),D,Mini has consistently made audio systems that are not intuitive at all.  American car makers have audio systems that are easy to understand and require no instructions.  Mini should offer a 400 level college course on how to use their system.,0.1779
3265,MINI Cooper 2dr Hbk,2,Interior,M,,0.0
3330,MINI Cooper 2dr Hbk,1,Seats,M,Loose mounting bolt repaired by dealer,-0.3182
3279,MINI Cooper 2dr Hbk,1,Engine/Transmission,M,,0.0
3290,MINI Cooper 2dr Hbk,4,Audio/Communication/Entertainment/Navigation (ACEN),D,"On the way home from buying the car I noticed that the bluetooth connection is VERY poor.  The speaker makes a VERY loud, frequent, and irritating snap, crackle and thud noise during conversation.  My phone is the Galaxy S8, which is a compatible phone.  I brought the car to the dealer.  They kept it for two days and said it was not a problem with the car, and that it is a known problem with connectivity between Mini and that they can do nothing to help me.",-0.7067
3820,MINI Cooper 2dr Hbk,7,Seats,D,,0.0
3821,MINI Cooper 2dr Hbk,7,Seats,D,,0.0
3822,MINI Cooper 2dr Hbk,7,Seats,D,,0.0
3823,MINI Cooper 2dr Hbk,7,Seats,D,,0.0
3824,MINI Cooper 2dr Hbk,7,Interior,D,"there's a peg that locks the mat in place but once I pulled it up to clean under the mat, now I can't seem to get it back on.  it moves and is kinda annoying",0.1128
3825,MINI Cooper 2dr Hbk,7,Interior,D,,0.0
3827,MINI Cooper 2dr Hbk,2,Engine/Transmission,M,,0.0
3828,MINI Cooper 2dr Hbk,2,Engine/Transmission,M,,0.0
3313,MINI Cooper 2dr Hbk,1,Seats,D,Sometimes it is difficult to buckle up with the seat belt due to the placement of the buckle and the relative location of the center compartment,-0.3612
3301,MINI Cooper 2dr Hbk,1,Seats,D,The recliner adjustment was initially hard to locate. Sometimes it doesn't seem to do anything when I pull it. The seatback's most upright position is not upright enough for my preference and not as upright as my 2010 MINI.,-0.1027
3299,MINI Cooper 2dr Hbk,1,Audio/Communication/Entertainment/Navigation (ACEN),D,Problem when both his & her keys in the car - radio stations sets disappeared,-0.5574
3298,MINI Cooper 2dr Hbk,1,Seats,D,The highest setting is just warm...and it cools quickly,0.0
3403,MINI Cooper 2dr Hbk,5,Seats,M,"Driver side heater control would shut itself off after five seconds, then refuse to turn on again until after engine had been shut off.  Was repaired by dealer .",-0.296
3292,MINI Cooper 2dr Hbk,4,Engine/Transmission,M,I don't like to use the feature because when it restarts it often does it with a jolt.  I sometimes feel almost as if someone tapped my rear bumper!,-0.3404
3291,MINI Cooper 2dr Hbk,4,Audio/Communication/Entertainment/Navigation (ACEN),D,"The navigation does give good voice prompts but if you did not hear it or pay attention there is no display to indicate your next turn/exit, etc. Only the destination, ETA is visually displayed. : Navigation program poor. There is not enough detail on screen for turn by turn guidance.  Available by voice only and no way to look in advance for next step.",-0.8555
3289,MINI Cooper 2dr Hbk,4,Audio/Communication/Entertainment/Navigation (ACEN),D,I gave up using the voice prompts after too many misinterpretations.,0.0
3404,MINI Cooper 2dr Hbk,5,"Heating, Ventilation, and Air Conditioning (HVAC)",M,": The recirculation toggle  won't stay in recirculate mode, keeps setting itself back to fresh air.  Have not yet brought to dealer's attention.",0.3182
3488,MINI Cooper 2dr Hbk,9,Exterior,D,Seems like a awful lot of tire-road noise; and it's crude noise--not at all like my Porsche 911,-0.4019
3406,MINI Cooper 2dr Hbk,3,Audio/Communication/Entertainment/Navigation (ACEN),D,The navigation system does not understand my words.,0.0
3765,MINI Cooper 2dr Hbk,1,Audio/Communication/Entertainment/Navigation (ACEN),D,"Steering wheel control is fine for volume adjustment and sometimes for station tuning, but the tuning function changes depending on where you are in the menu structure and that cannot be changed with the steering wheel controls. Menu structure is non-intuitive and really hard to memorize. In addition, the single control knob of the center console is in an inconvenient location.",-0.5775
3766,MINI Cooper 2dr Hbk,2,Audio/Communication/Entertainment/Navigation (ACEN),D,AM radio reception is poor. This may be due to replacement of standard antenna with 'shorty' antenna.,-0.4767
3643,MINI Cooper 2dr Hbk,4,Interior,M,,0.0
3642,MINI Cooper 2dr Hbk,4,Interior,M,,0.0
3641,MINI Cooper 2dr Hbk,4,Seats,U,if I have too much weight in packages on passenger seat the seat belt keeps pinging,0.0
3640,MINI Cooper 2dr Hbk,4,Seats,D,Hard to disengage when trying to let a person out from the back.  Seems to get stuck,-0.34
3639,MINI Cooper 2dr Hbk,2,Seats,D,"With armrest down, seat belt buckle is very difficult to access",-0.4201
3638,MINI Cooper 2dr Hbk,2,Features/Controls/Displays (FCD),D,I hate the fact that they moved the speedometer away from the center of the console and I hate the size and nature of the new tachometer.,-0.8126
3637,MINI Cooper 2dr Hbk,3,Features/Controls/Displays (FCD),D,I don't use the moon roof as it is too bright when open,0.4404
3668,MINI Cooper 2dr Hbk,1,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
3636,MINI Cooper 2dr Hbk,3,Features/Controls/Displays (FCD),D,Not sure if the indicator will let me know automatically if tire needs pressure,0.0258
3615,MINI Cooper 2dr Hbk,2,Seats,D,seats soil easily and hard to clean off,0.5719
3614,MINI Cooper 2dr Hbk,2,Seats,D,Heat doesn't stay maintained long,0.0
3767,MINI Cooper 2dr Hbk,2,Engine/Transmission,D,"While driving in 'normal' mode, the vehicle consumes half a tank of gas in 3 days after travelling 60 miles. Plan on on trying 'green' mode for the next couple of weeks in hopes of better fuel consumption.",0.6908
3773,MINI Cooper 2dr Hbk,1,Audio/Communication/Entertainment/Navigation (ACEN),D,"Essentially the most significant problem I have is that my Sirius radio connection is frequently dropped . Also, people who call me on the phone while paired have difficulty hearing me.",-0.5082
3789,MINI Cooper 2dr Hbk,1,Seats,D,Have to life center armrest to buckle,0.0
3790,MINI Cooper 2dr Hbk,2,Audio/Communication/Entertainment/Navigation (ACEN),D,Difficult to use due to being blocked by cups in cup holder.,-0.5574
3791,MINI Cooper 2dr Hbk,2,Interior,M,After taking the cover off to haul large items. I just assumed I had not replace the cover properly but have since attempted to fix it with out success.,0.7227
3599,MINI Cooper 2dr Hbk,1,Seats,D,Scuffed easily while vacuuming the seat.,0.34
3598,MINI Cooper 2dr Hbk,5,Interior,U,Sun roof panel screen cover...tends to have a bit of rattling when pulled back,0.0
3635,MINI Cooper 2dr Hbk,3,Features/Controls/Displays (FCD),D,Can't turn off auto when in the car wash,0.0
3597,MINI Cooper 2dr Hbk,5,Seats,D,Too narrow of clearance to buckle seatbelt into it's notch ,0.0
3677,MINI Cooper 2dr Hbk,2,Seats,D,,0.0
3762,MINI Cooper 2dr Hbk,2,Seats,D,Both driver & passengers have struggled with buckling up.  Buckle is hard to reach.,-0.4019
3737,MINI Cooper 2dr Hbk,2,Seats,D,only soils because of light color.,0.0
3736,MINI Cooper 2dr Hbk,2,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
3733,MINI Cooper 2dr Hbk,1,Exterior,M,car had scratch on front bumper which was tried to be concealed with touch up paint,0.0
3730,MINI Cooper 2dr Hbk,4,Seats,D,Very hard to reach front seat belts.  Back seat hard to find then buckle. Poor design rather then a problem with the seat belt.,-0.7797
3729,MINI Cooper 2dr Hbk,4,Seats,D,Difficult to adjust seat headrests.,-0.3612
3728,MINI Cooper 2dr Hbk,4,Seats,D,Design flaw.,0.0
3727,MINI Cooper 2dr Hbk,4,Seats,D,"Not easy to figure out all the controls for the seat adjustments.  Again, a design problem not a problem with the seat.",-0.3612
3724,MINI Cooper 2dr Hbk,2,Engine/Transmission,M,"When accelerating from a stop, the engine does seem to stutter a few times before smoothing out.  I have noticed this a handful of times. It is not a consistent issue at this time.",-0.4939
3723,MINI Cooper 2dr Hbk,2,Seats,M,"I answered this way, because it is the closest item to what I am actually encountering. I encountered this issue with both my 2015 and 2018 Mini Coopers.  Occasionally the seatbelt gets locked/twisted on itself and I have to hank it HARD to get it out to use it.",-0.2808
3678,MINI Cooper 2dr Hbk,2,Engine/Transmission,D,HAPPENS THAT CAR ROLL OUT FEW TIMES AFTER PARKED IN LOW INCLINATION ROAD,-0.2732
3716,MINI Cooper 2dr Hbk,1,Interior,D,Door panels are getting scuffed and even the Mini Cooper cleaner I bought is not removing it. It is from my tennis shoe when the wind was blowing and I braced the door so it wouldn't close. It left scuff marks. It was not excesssive force so I was surprised it left a mark,0.4364
3713,MINI Cooper 2dr Hbk,2,Seats,D,I had the exact same problem with my previous Mini Cooper & was aware of it when I purchased this one.  Clearly it was not a deal breaker for me,0.0
3704,MINI Cooper 2dr Hbk,2,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
3703,MINI Cooper 2dr Hbk,2,Audio/Communication/Entertainment/Navigation (ACEN),D,Bad location  for certain controls / modes.,-0.34
3761,MINI Cooper 2dr Hbk,2,Audio/Communication/Entertainment/Navigation (ACEN),D,"Navagation across functions is baffling.  When I first got car it had display of a classic radio dial, but I haven't figured out how to get that display again.  Other functions are also obtuse.",0.0
3691,MINI Cooper 2dr Hbk,2,Driving Experience,D,I have big  feet,0.0
3690,MINI Cooper 2dr Hbk,2,Exterior,D,Standard headlights use H-4 bulbs..early 1970s tech.  I would have gotten optional LED headlights if I had known they where this bad.  I live in a very rural area ,-0.628
3684,MINI Cooper 2dr Hbk,1,Features/Controls/Displays (FCD),D,"My knee often strikes the switch, turning on lights, when exiting the vehicle.",-0.3612
3683,MINI Cooper 2dr Hbk,2,Audio/Communication/Entertainment/Navigation (ACEN),D,The easy knob in the middle is terrible. Twisting it around trying to find what I need certainly makes for distracted driving more so than the controls I used to have on the dashboard.,-0.0516
3682,MINI Cooper 2dr Hbk,2,Driving Experience,M,My tires sensors constantly say my tires are low. I have to put air in my tires at least once a week sometimes more often.,-0.2732
3714,MINI Cooper 2dr Hbk,2,Seats,D,Every time I have a passenger I have to buckle them in they can't find where to buckle it,0.0
3405,MINI Cooper 2dr Hbk,5,Engine/Transmission,D,"Having driven for the past 20 years with a 5- or 6-speed manual, switching to automatic continues to be a learning experience for me.  The most common annoyance is when I want to accelerate, and the transmission needs to 'think about it' for a second before down-shifting.  This is almost certainly an issue common to automatics, and not an indictment of MINI in particular.I've tried their 'pseudo-manual' mode, but found it lacking as I have to look at the display to see what gear I'm in.  With a real manual transmission, you don't have to look; just put your hand down and feel where the stalk is.",0.6386
3596,MINI Cooper 2dr Hbk,5,Audio/Communication/Entertainment/Navigation (ACEN),D,"So, Mini has this separate 'kit' to mount cell phones on the dash.  Unfortunately, my Samsung Note 8 appears barely enough 'fit' to hold it, AND try to plug into it's nearby USB port.  It appears to be just a manufacturing snag on the 'kits' for larger phone...seems like it's meant for just the apple phone sizes :-(",-0.34
3594,MINI Cooper 2dr Hbk,5,Audio/Communication/Entertainment/Navigation (ACEN),D,"Thinking this is just the nature of FM radio reception. But then, I typically don't listen to FM radio...only listened until I had Satellite installed.  I was a bit disappointed that the vehicle did NOT come already equipped with Satellite...Volkswagen  has this 'standard' in their vehicles.",-0.4767
3494,MINI Cooper 2dr Hbk,9,Interior,M,There's a very annoying rattle that I think is coming from the glove box latch--,-0.4576
3493,MINI Cooper 2dr Hbk,9,"Heating, Ventilation, and Air Conditioning (HVAC)",D,The thermostat settings are too course  so it's either cooling or not cooling in the 74-78 degree range.,0.0
3492,MINI Cooper 2dr Hbk,9,Features/Controls/Displays (FCD),D,Ditch the 'cuteness'--install real clearly functional analog gauges in a logical array instead of mixing different types of displays and arranging them is such an illogical manner.,0.4019
3491,MINI Cooper 2dr Hbk,9,Driving Experience,M,The car is just noisy--lots of crude road noise.,-0.5719
3490,MINI Cooper 2dr Hbk,9,Driving Experience,M,There is a vague sense that the car 'wanders' side-to-side on the highway.  When the car was delivered I was shocked to observe that the tires for 5-6 pounds low and at different pressures at each wheel.  That might have contributed to the wandering.  After equalizing the pressures up to spec. it seems a little better.  The high performance tires on my Porsche 911 have a tendency to follow highway grooving--the MINI's behavior is different--almost as if there's an alignment or other suspension issue.,-0.6997
3489,MINI Cooper 2dr Hbk,9,Driving Experience,D,Handbrake location is just in the way of the transmission shifter.  Poor design.,-0.4767
3487,MINI Cooper 2dr Hbk,9,Exterior,M,The rear license plate holder is not secured at the bottom--so it rattles loudly  when you close the trunk.  Bad design that a couple more mounting screws would fix.  Notice this same cheapy experience on wife's BMW as well--in the genes?,-0.7927
3484,MINI Cooper 2dr Hbk,2,Audio/Communication/Entertainment/Navigation (ACEN),D,Usually whatever contact name is being said needs to be repeated,0.0
3483,MINI Cooper 2dr Hbk,2,Exterior,M,: Appears to have a leak on the drivers side window,-0.34
3495,MINI Cooper 2dr Hbk,9,Interior,D,I like that it can be adjusted as to placement --just not a very useful space for something that takes up all that room.,-0.0317
3803,MINI Cooper 2dr Hbk,2,Interior,U,Sunroof screen rattles.,0.0
3442,MINI Cooper 2dr Hbk,3,"Heating, Ventilation, and Air Conditioning (HVAC)",D,"it doesn't heat up fast enough.   After I reach my destination, then it heats up",0.0258
3441,MINI Cooper 2dr Hbk,3,Features/Controls/Displays (FCD),D,,0.0
3440,MINI Cooper 2dr Hbk,3,Features/Controls/Displays (FCD),D,"I cannot locate, wasted hours to understand , how to tell how much gas range or how many miles it can go in the amount of gas I have.",0.3875
3439,MINI Cooper 2dr Hbk,2,Exterior,M,The Driver's door did not close at all. Cold Weather.  Service moved the bar forward so that the latch would hook.,0.0
3438,MINI Cooper 2dr Hbk,2,Exterior,M,Driver's door would NOT shut.  No matter what.  I tried everything.  So did the service technichan,-0.2732
3437,MINI Cooper 2dr Hbk,2,Audio/Communication/Entertainment/Navigation (ACEN),D,"My phone frequently will not be recognized and will take a very long time to show up, if at all. Sometimes it will show up, we will be listening to something and switch to the maps or something and we can then if we try and go back to what we were listening to, it can no longer be heard as the pairing is gone. It is very odd. Calls also seem to take a very long time to connect.",-0.5849
3436,MINI Cooper 2dr Hbk,2,Audio/Communication/Entertainment/Navigation (ACEN),D,The system has worked once. Every time since then it never understands and will place a call rather than playing a song or vice versa.,0.2023
3408,MINI Cooper 2dr Hbk,3,Interior,D,,0.0
3407,MINI Cooper 2dr Hbk,3,Seats,D,,0.0
3805,MINI Cooper 2dr Hbk,1,Audio/Communication/Entertainment/Navigation (ACEN),D,: When making a phone call using bluetooth the display shown that it's dialing and then it hangs up before the call is connected.,0.0
3595,MINI Cooper 2dr Hbk,5,Audio/Communication/Entertainment/Navigation (ACEN),D,"The entire audio function is NOT user friendly.  Having a 'nerdy' spouse, even HE had a difficult time working through the radio/satellite/etc controls. Again, Volkswagen is MUCH more user friendly.",0.5994
3502,MINI Cooper 2dr Hbk,3,Seats,D,"Everyone who has been a passenger has had difficulty with the seat buckle. I think they are attached too far back on the seat.  You have to align the buckle EXACTLY and keep it very straight.  My 2004 Cooper was just 'click and go'....no fuss.  Also, I find that I have to have the arm rest up, otherwise it gets in the way.",-0.0534
3504,MINI Cooper 2dr Hbk,3,Engine/Transmission,D,"When I am parking the car, the gear shift sticks just before it goes into Park.  So, it is a 2 step Park.",0.0
3587,MINI Cooper 2dr Hbk,1,Interior,M,The floor on the driver side makes a popping noise when I move my left foot.,0.0
3579,MINI Cooper 2dr Hbk,1,Exterior,M,,0.0
3797,MINI Cooper 2dr Hbk,2,Features/Controls/Displays (FCD),D,"The clock is in two locations, but it is so small it is hard to see and find in either location.",-0.1531
3798,MINI Cooper 2dr Hbk,2,"Heating, Ventilation, and Air Conditioning (HVAC)",D,the symbols for directional air is hard to understand.,-0.1027
3799,MINI Cooper 2dr Hbk,2,Audio/Communication/Entertainment/Navigation (ACEN),D,Pandora tends to freeze since it wants to use the Mini BMW version of Pandora.,0.0516
3800,MINI Cooper 2dr Hbk,2,Interior,U,: when hitting bumps the hatchback seems to make noise.  As if it's not properly secured.  Also the shade that slides on the sunroof bounces around and makes noise as well.,-0.0408
3550,MINI Cooper 2dr Hbk,1,Audio/Communication/Entertainment/Navigation (ACEN),D,Satellite radio connection constantly drops signal. I have reset the receiver and the issue still persists.,0.0
3546,MINI Cooper 2dr Hbk,1,Exterior,D,Open clicking fob button latch doesn't always release,0.0
3801,MINI Cooper 2dr Hbk,1,Exterior,M,,0.0
3503,MINI Cooper 2dr Hbk,3,Engine/Transmission,D,It may just be that this car is an 'S' and my previous one was not.  I feel like I am at the gas station all the time.  I would probably not buy an 'S' again.,-0.2755
3535,MINI Cooper 2dr Hbk,1,Interior,D,In dash storage compartment has been eliminated.,0.0
3533,MINI Cooper 2dr Hbk,1,Exterior,M,"The gasket/seal split at the front of the driver's side corner of the sun roof.  Mini of Madison WI diagnosed that corrected the problem, which they had not previously seen and there have been no problems since.",-0.765
3519,MINI Cooper 2dr Hbk,1,Interior,D,,0.0
3802,MINI Cooper 2dr Hbk,2,Audio/Communication/Entertainment/Navigation (ACEN),D,"It is difficult to enter the address quickly. It doesn't seem to recognize where I am, to further narrow down results. The Mini Connected navigation app is better, but you have to control it from your phone.",0.0516
3511,MINI Cooper 2dr Hbk,3,Engine/Transmission,M,"check engine light came on.  happened during winter, when temps were below 40 degrees.",0.0
3510,MINI Cooper 2dr Hbk,3,Interior,M,"sounded loose, dealer fixed",-0.3182
3509,MINI Cooper 2dr Hbk,3,Interior,M,"slight noise, like something is loose",0.0516
3507,MINI Cooper 2dr Hbk,2,Interior,D,door panel scuff with normal use. Dashboard shows fingerprints too easily.,0.34
3506,MINI Cooper 2dr Hbk,2,Seats,D,,0.0
3505,MINI Cooper 2dr Hbk,1,"Heating, Ventilation, and Air Conditioning (HVAC)",D,,0.0
3534,MINI Cooper 2dr Hbk,1,Exterior,M,The tires on any surface other than very smooth make a lot of road noise,0.0
3225,MINI Cooper 2dr Hbk,1,Interior,D,,0.0
3831,MINI Cooper 2dr Hbk,3,"Heating, Ventilation, and Air Conditioning (HVAC)",D,,0.0
3068,MINI Cooper 2dr Hbk,3,Interior,M,,0.0
3038,MINI Cooper 2dr Hbk,4,Interior,D,"More than expected scuffing on door panels. Probably from my entering/ or leaving the vehicle. Sometimes I have to use my shoe as a doorstop, so my foot doesnâ€™t get caught on the doorðŸ˜ƒ",0.0
3037,MINI Cooper 2dr Hbk,4,"Heating, Ventilation, and Air Conditioning (HVAC)",D,": When Iâ€™m stopped st a light or for some other reason/ ie.traffic, if the engine shuts off, as it is supposed to, the air conditioning slows down significantly.  I canâ€™t imagine what it will do during the summer, here in Arizona! It might get quite hot!",-0.3578
3036,MINI Cooper 2dr Hbk,4,Audio/Communication/Entertainment/Navigation (ACEN),D,"Many incorrect suggestions when trying to access a particular person or place. EXTREMELY annoying, as well as very distracting!",-0.5404
3035,MINI Cooper 2dr Hbk,4,Exterior,M,"Noise occurs when sun/moonroof is fully open. If I open a side window slightly, it diminishes the noise, but, otherwise, it is distracting. It isnâ€™t a mechanical issue. Itâ€™s a design issue, I believe.",-0.4215
3196,MINI Cooper 2dr Hbk,5,Audio/Communication/Entertainment/Navigation (ACEN),D,"very hard to figure out how to maneuver between audio for waze, google maps - and music.  When connect it automatically plays apple music or audiobook that I was last on ... and then have to shut that off.  Also - I was told can't listen to radio and use bluetooth - yet, somehow one day it worked that I could have both - and haven't figured it out again... need much more detailed instructions on how to navigate between phone and mini audio system",0.079
3197,MINI Cooper 2dr Hbk,5,Seats,D,same as previous response,0.0
3186,MINI Cooper 2dr Hbk,3,Interior,D,"When I accidentally brush my shoe against lower door panel/sill while getting out of the car, it leaves a mark that I can't clean off.",-0.7057
3198,MINI Cooper 2dr Hbk,5,Seats,D,I would prefer that they were power operated vs manual - not an option on the mini,0.0
3200,MINI Cooper 2dr Hbk,5,Engine/Transmission,M,kind of annoying - just need to get use to it,-0.4019
3114,MINI Cooper 2dr Hbk,2,Driving Experience,D,a bit of a squeal early in day backing out of driveway ... once used a couple of times it subsides,0.0258
3115,MINI Cooper 2dr Hbk,2,Driving Experience,D,ebrake is right next to the seat belt buckle on driver side.  Sometimes seat buckle does not allow ebrake to disengage properly,-0.1695
3030,MINI Cooper 2dr Hbk,2,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
3029,MINI Cooper 2dr Hbk,2,Audio/Communication/Entertainment/Navigation (ACEN),D,Can be slow in responding,0.0
3007,MINI Cooper 2dr Hbk,2,"Heating, Ventilation, and Air Conditioning (HVAC)",M,"Recirculate button won't stay 'on', turns itself off after 10 seconds",0.0
3199,MINI Cooper 2dr Hbk,5,Seats,D,very hard to move the seat and adjust it - again prefer automatic vs manual,-0.1761
3185,MINI Cooper 2dr Hbk,3,"Heating, Ventilation, and Air Conditioning (HVAC)",D,"The higher the fan speed, the louder it is.",0.3182
3101,MINI Cooper 2dr Hbk,1,Exterior,M,Seems like it is mid-aligned. Sounds different than my last mini.,0.3612
3066,MINI Cooper 2dr Hbk,3,Exterior,M,Easily chipped from contact.,0.34
3167,MINI Cooper 2dr Hbk,2,Features/Controls/Displays (FCD),D,: The turning indicator is entirely TOO LOUD and annoying. The dealer said this cannot be adjusted.,-0.4019
3168,MINI Cooper 2dr Hbk,2,"Heating, Ventilation, and Air Conditioning (HVAC)",D,"The heated seats are the only reason I feel sufficient warmth in short drives, as the main heating unit takes a very long time to reach the desired temperature.",0.6369
